"","RegionID","YearBuilt","LU_desc","CountStructures"
"1732","764093","1950","MULTI-FAMILY < 10",3
"1733","764093","1956","STORE, ONE STORY",3
"1734","764093","1965","CHURCHES",3
"1735","764093","1965","OFFICE, 1 STORY",3
"1736","764093","1966","STORE, ONE STORY",3
"1737","764093","1976","AUTO SALES, REPAIR, SERVICE, & BODY",3
"1738","764093","1976","SINGLE FAMILY",3
"1739","764093","1982","SINGLE FAMILY",3
"1740","764093","1983","SINGLE FAMILY",3
"1741","764093","1985","SINGLE FAMILY",3
"1742","764093","2010","SINGLE FAMILY",3
"1743","123888","0","CENTRALLY ASSESSED",2
"1744","123888","0","MORTUARIES, CEMETERIES",2
"1745","123888","1938","SINGLE FAMILY RESIDENTIAL",2
"1746","123888","1943","SINGLE FAMILY RESIDENTIAL",2
"1747","123888","1945","MULTI-FAMILY RESIDENTIAL",2
"1748","123888","1949","SINGLE FAMILY RESIDENTIAL",2
"1749","123888","1951","MULTI-FAMILY RESIDENTIAL",2
"1750","123888","1952","MULTI-FAMILY RESIDENTIAL",2
"1751","123888","1954","OFFICE BUILDING",2
"1752","123888","1955","FLORIST, GREENHOUSE",2
"1753","123888","1957","REPAIR SERVICE SHOP",2
"1754","123888","1960","AUTO - SALES, REPAIR",2
"1755","123888","1962","WAREHOUSE - STORAGE",2
"1756","123888","1964","MOBILE HOMES",2
"1757","123888","1965","LIGHT MANUFACTURING",2
"1758","123888","1965","STORES, ONE STORY",2
"1759","123888","1968","MOBILE HOMES",2
"1760","123888","1969","OFFICE BUILDING",2
"1761","123888","1971","STORES, ONE STORY",2
"1762","123888","1972","REPAIR SERVICE SHOP",2
"1763","123888","1972","STORES, ONE STORY",2
"1764","123888","1973","WAREHOUSE - STORAGE",2
"1765","123888","1974","AUTO - SALES, REPAIR",2
"1766","123888","1975","WAREHOUSE - STORAGE",2
"1767","123888","1977","CHURCHES",2
"1768","123888","1977","MOBILE HOMES",2
"1769","123888","1977","MULTI-FAMILY RESIDENTIAL",2
"1770","123888","1979","MOBILE HOMES",2
"1771","123888","1979","MULTI-FAMILY RESIDENTIAL",2
"1772","123888","1982","REPAIR SERVICE SHOP",2
"1773","123888","1983","OFFICE BUILDING",2
"1774","123888","1983","WAREHOUSE - STORAGE",2
"1775","123888","1984","REPAIR SERVICE SHOP",2
"1776","123888","1985","CHURCHES",2
"1777","123888","1985","STORES, ONE STORY",2
"1778","123888","1985","WAREHOUSE - STORAGE",2
"1779","123888","1986","SERVICE STATION",2
"1780","123888","1987","STORES, ONE STORY",2
"1781","123888","1988","MULTI-FAMILY RESIDENTIAL",2
"1782","123888","1988","WAREHOUSE - STORAGE",2
"1783","123888","1989","LIGHT MANUFACTURING",2
"1784","123888","1989","STORES, ONE STORY",2
"1785","123888","1990","MULTI-FAMILY RESIDENTIAL",2
"1786","123888","1990","WAREHOUSE - STORAGE",2
"1787","123888","1998","MULTI-FAMILY RESIDENTIAL",2
"1788","123888","1999","MULTI-FAMILY RESIDENTIAL",2
"1789","123888","1999","PARKING/MOBILE HOME LOT",2
"1790","123888","2001","SINGLE FAMILY RESIDENTIAL",2
"1791","123888","2003","OFFICE BUILDING",2
"1792","123888","2008","LIGHT MANUFACTURING",2
"1793","123888","2008","WAREHOUSE - STORAGE",2
"1794","123888","2010","STORES, ONE STORY",2
"1795","124569","1900","OFFICE BUILDING",2
"1796","124569","1900","OFFICE, 1 STORY",2
"1797","124569","1900","PROFESSIONAL SERVICE BUILDING",2
"1798","124569","1907","SINGLE FAMILY",2
"1799","124569","1908","STORE, ONE STORY",2
"1800","124569","1910","OFFICE BUILDING",2
"1801","124569","1915","OFFICE, 1 STORY",2
"1802","124569","1919","MULTI-FAMILY < 10",2
"1803","124569","1923","OFFICE, 1 STORY",2
"1804","124569","1926","STORE, ONE STORY",2
"1805","124569","1928","OFFICE, 1 STORY",2
"1806","124569","1929","MULTI-FAMILY < 10",2
"1807","124569","1933","CHURCHES",2
"1808","124569","1936","MULTI-FAMILY < 10",2
"1809","124569","1942","MULTI-FAMILY < 10",2
"1810","124569","1943","MULTI-FAMILY < 10",2
"1811","124569","1945","OFFICE, 1 STORY",2
"1812","124569","1948","MULTI-FAMILY < 10",2
"1813","124569","1949","MULTI-FAMILY < 10",2
"1814","124569","1950","MULTI-FAMILY < 10",2
"1815","124569","1950","OFFICE, 1 STORY",2
"1816","124569","1950","STORE, ONE STORY",2
"1817","124569","1954","MULTI-FAMILY < 10",2
"1818","124569","1956","MULTI-FAMILY < 10",2
"1819","124569","1956","STORE, ONE STORY",2
"1820","124569","1957","MULTI-FAMILY < 10",2
"1821","124569","1958","OFFICE, 1 STORY",2
"1822","124569","1959","STORE, ONE STORY",2
"1823","124569","1960","OFFICE, 1 STORY",2
"1824","124569","1961","OFFICE, 1 STORY",2
"1825","124569","1964","OFFICE, 1 STORY",2
"1826","124569","1965","MULTI-FAMILY < 10",2
"1827","124569","1965","MULTI-FAMILY > 10",2
"1828","124569","1965","OFFICE, 1 STORY",2
"1829","124569","1966","STORE, ONE STORY",2
"1830","124569","1968","RESTAURANT, CAFETERIA",2
"1831","124569","1969","STORE, ONE STORY",2
"1832","124569","1971","SINGLE FAMILY",2
"1833","124569","1977","OFFICE, 1 STORY",2
"1834","124569","1981","MULTI-FAMILY < 10",2
"1835","124569","1991","MULTI-FAMILY < 10",2
"1836","124569","2015","VACANT RESIDENTIAL",2
"1837","124728","1959","SINGLE FAMILY RESIDENTIAL",2
